"Order","Class","Domain","Variable","Label","Type","ControlledTerms","Role","Core"
"25","Findings","MB","MBMETHOD","Method of Test or Examination","Char","(METHOD)","Record Qualifier","Exp"
"26","Findings","MB","MBBLFL","Baseline Flag","Char","(NY)","Record Qualifier","Perm"
"27","Findings","MB","MBDRVFL","Derived Flag","Char","(NY)","Record Qualifier","Perm"
"28","Findings","MB","VISITNUM","Visit Number","Num","","Timing","Exp"
"29","Findings","MB","VISIT","Visit Name","Char","","Timing","Perm"
"30","Findings","MB","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"31","Findings","MB","MBDTC","Date/Time of Specimen Collection ","Char","ISO 8601","Timing","Exp"
"32","Findings","MB","MBDY","Study Day of MB Specimen Collection","Num","","Timing","Perm"
"33","Findings","MB","MBTPT","Planned Time Point Name","Char","","Timing","Perm"
"34","Findings","MB","MBTPTNUM","Planned Time Point Number","Num","","Timing","Perm"
"35","Findings","MB","MBELTM","Planned Elapsed Time from Time Point Ref ","Char","ISO 8601","Timing","Perm"
"36","Findings","MB","MBTPTREF","Time Point Reference ","Char","","Timing","Perm"
"37","Findings","MB","MBRFTDTC","Date/Time of Reference Time Point","Char","ISO 8601","Timing","Perm"
"1","Findings","MI","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings","MI","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","MI","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings","MI","MISEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings","MI","MIGRPID","Group ID","Char","","Identifier","Perm"
"6","Findings","MI","MIREFID","Reference ID","Char","","Identifier","Perm"
"7","Findings","MI","MISPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Findings","MI","MITESTCD","Microscopic Examination Short Name","Char","(MITESTCD)","Topic","Req"
"9","Findings","MI","MITEST","Microscopic Examination Name","Char","(MITEST)","Synonym Qualifier","Req"
"10","Findings","MI","MITSTDTL","Microscopic Examination Detail","Char","","Record Qualifier","Perm"
"11","Findings","MI","MICAT","Category for Microscopic Finding","Char","","Grouping Qualifier","Perm"
"12","Findings","MI","MISCAT","Subcategory for Microscopic Finding","Char","","Grouping Qualifier","Perm"
"13","Findings","MI","MIORRES","Result or Finding in Original Units","Char","","Result Qualifier","Exp"
"14","Findings","MI","MIORRESU","Original Units","Char","(UNIT)","Variable Qualifier ","Perm"
"15","Findings","MI","MISTRESC","Character Result/Finding in Standard Format","Char","","Result Qualifier","Exp"
"16","Findings","MI","MISTRESN","Numeric Result/Finding in Standard Units","Num","","Result Qualifier","Perm"
"17","Findings","MI","MISTRESU","Standard Units","Char","(UNIT)","Variable Qualifier","Perm"
"18","Findings","MI","MIRESCAT","Result Category","Char","","Result Qualifier","Perm"
"19","Findings","MI","MISTAT","Completion Status","Char","(ND)","Record Qualifier","Perm"
"20","Findings","MI","MIREASND","Reason Not Done","Char","","Record Qualifier","Perm"
"21","Findings","MI","MINAM","Laboratory/Vendor Name ","Char","","Record Qualifier","Perm"
"22","Findings","MI","MISPEC","Specimen Material Type","Char","(SPECTYPE)","Record Qualifier","Req"
"23","Findings","MI","MISPCCND","Specimen Condition","Char","(SPECCOND)","Variable Qualifier","Exp"
"24","Findings","MI","MILOC","Specimen Collection Location","Char","(LOC)","Record Qualifier","Perm"
"25","Findings","MI","MILAT","Specimen Laterality within Subject","Char","(LAT)","Variable Qualifier","Perm"
"26","Findings","MI","MIDIR","Specimen Directionality within Subject","Char","(DIR)","Variable Qualifier","Perm"
"27","Findings","MI","MIMETHOD","Method of Test or Examination","Char","(METHOD)","Record Qualifier","Perm"
"28","Findings","MI","MIBLFL","Baseline Flag","Char","(NY)","Record Qualifier","Exp"
"29","Findings","MI","MIEVAL","Evaluator","Char","(EVAL)","Record Qualifier","Perm"
"30","Findings","MI","VISITNUM","Visit Number","Num","","Timing","Exp"
"31","Findings","MI","VISIT","Visit Name","Char","","Timing","Perm"
"32","Findings","MI","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"33","Findings","MI","MIDTC","Date/Time of Specimen Collection","Char","ISO 8601","Timing","Exp"
"34","Findings","MI","MIDY","Study Day of Specimen Collection","Num","","Timing","Perm"
"1","Findings","MO","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings","MO","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","MO","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings","MO","MOSEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings","MO","MOGRPID","Group ID","Char","","Identifier","Perm"
"6","Findings","MO","MOREFID","Reference ID","Char","","Identifier","Perm"
"7","Findings","MO","MOSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Findings","MO","MOLNKID","Link ID ","Char","","Identifier ","Perm"
"9","Findings","MO","MOTESTCD","Test or Examination Short Name","Char","(MOTESTCD)","Topic","Req"
"10","Findings","MO","MOTEST","Test or Examination Name","Char","(MOTEST)","Synonym Qualifier","Req"
"11","Findings","MO","MOCAT","Category for Test","Char","","Grouping Qualifier","Perm"
"12","Findings","MO","MOSCAT","Subcategory for Test","Char","","Grouping Qualifier","Perm"
"13","Findings","MO","MOPOS","Position of Subject","Char","(POSITION)","Record Qualifier","Perm"
"14","Findings","MO","MOORRES","Result or Finding in Original Units","Char","","Result Qualifier","Exp"
"15","Findings","MO","MOORRESU","Original Units","Char","(UNIT)","Variable Qualifier ","Perm"
"16","Findings","MO","MOSTRESC","Character Result/Finding in Std Format","Char","","Result Qualifier","Exp"
"17","Findings","MO","MOSTRESN","Numeric Result/Finding in Standard Units","Num","","Result Qualifier","Perm"
"18","Findings","MO","MOSTRESU","Standard Units","Char","(UNIT)","Variable Qualifier","Perm"
"19","Findings","MO","MOSTAT","Completion Status","Char","(ND)","Record Qualifier","Perm"
"20","Findings","MO","MOREASND","Reason Test Not Performed","Char","","Record Qualifier","Perm"
"21","Findings","MO","MOXFN","External File Path","Char","","Record Qualifier","Perm"
"22","Findings","MO","MONAM","Vendor Name","Char","","Record Qualifier","Perm"
"23","Findings","MO","MOLOC","Location Used for Measurement","Char","(LOC)","Record Qualifier","Perm"
"24","Findings","MO","MOLAT","Specimen Laterality within Subject","Char","(LAT)","Variable Qualifier","Perm"
"25","Findings","MO","MODIR","Specimen Directionality within Subject","Char","(DIR)","Variable Qualifier","Perm"
"26","Findings","MO","MOPORTOT","Portion or Totality","Char","(PORTOT)","Variable Qualifier","Perm"
"27","Findings","MO","MOMETHOD","Method of Procedure Test ","Char","(METHOD)","Record Qualifier","Perm"
"28","Findings","MO","MOANMETH","Analysis Method","Char","","Record Qualifier","Perm"
"29","Findings","MO","MOBLFL","Baseline Flag","Char","(NY)","Record Qualifier","Exp"
"30","Findings","MO","MODRVFL","Derived Flag","Char","(NY)","Record Qualifier","Perm"
"31","Findings","MO","MOEVAL","Evaluator","Char","(EVAL)","Record Qualifier","Perm"
"32","Findings","MO","VISITNUM","Visit Number","Num","","Timing","Exp"
"33","Findings","MO","VISIT","Visit Name","Char","","Timing","Perm"
"34","Findings","MO","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"35","Findings","MO","MODTC","Date/Time of Test","Char","ISO 8601","Timing","Exp"
"36","Findings","MO","MODY","Study Day of Test ","Num","","Timing","Perm"
"37","Findings","MO","MOTPT","Planned Time Point Name","Char","","Timing","Perm"
"38","Findings","MO","MOTPTNUM","Planned Time Point Number","Num","","Timing","Perm"
"39","Findings","MO","MOELTM","Planned Elapsed Time from Time Point Ref","Char","ISO 8601","Timing","Perm"
"40","Findings","MO","MOTPTREF","Time Point Reference","Char","","Timing","Perm"
"41","Findings","MO","MORFTDTC","Date/Time of Reference Time Point","Char","ISO 8601","Timing","Perm"
"1","Findings","MS","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings","MS","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","MS","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings","MS","MSSEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings","MS","MSGRPID","Group ID","Char","","Identifier","Req"
"6","Findings","MS","MSREFID","Reference ID","Char","","Identifier","Perm"
"7","Findings","MS","MSSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Findings","MS","MSTESTCD","Microbiology Organism Finding Short Name ","Char","","Topic","Req"
"9","Findings","MS","MSTEST","Organism Test or Finding Name","Char","","Synonym Qualifier","Req"
"10","Findings","MS","MSCAT","Category for Organism Findings","Char","","Grouping Qualifier","Req"
"11","Findings","MS","MSSCAT","Subcategory for Organism Findings","Char","","Grouping Qualifier","Perm"
"12","Findings","MS","MSORRES","Result or Finding in Original Units","Char","","Result Qualifier","Exp"
"13","Findings","MS","MSORRESU","Original Units","Char","(UNIT)","Variable Qualifier ","Exp"
"14","Findings","MS","MSSTRESC","Character Result/Finding in Std Format","Char","","Result Qualifier","Exp"
"15","Findings","MS","MSSTRESN","Numeric Result/Finding in Standard Units","Num","","Result Qualifier","Exp"
"16","Findings","MS","MSSTRESU","Standard Units","Char","(UNIT)","Variable Qualifier","Exp"
"17","Findings","MS","MSRESCAT","Result Category","Char","(MSRESCAT)","Variable Qualifier","Exp"
"18","Findings","MS","MSSTAT","Completion Status","Char","(ND)","Record Qualifier","Perm"
"19","Findings","MS","MSREASND","Reason Test Not Done ","Char","","Record Qualifier","Perm"
"20","Findings","MS","MSNAM","Vendor Name","Char","","Record Qualifier","Perm"
"21","Findings","MS","MSLOINC","LOINC Code","Char","","Synonym Qualifier","Perm"
"22","Findings","MS","MSMETHOD","Method of Test or Examination ","Char","(METHOD)","Record Qualifier","Exp"
"23","Findings","MS","MSBLFL","Baseline Flag","Char","(NY)","Record Qualifier","Perm"
"24","Findings","MS","MSDRVFL","Derived Flag","Char","(NY)","Record Qualifier","Perm"
"25","Findings","MS","VISITNUM","Visit Number","Num","","Timing","Exp"
"26","Findings","MS","VISIT","Visit Name","Char","","Timing","Perm"
"27","Findings","MS","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"28","Findings","MS","MSDTC","Date/Time of Test","Char","ISO 8601","Timing","Perm"
"29","Findings","MS","MSDY","Study Day of Test","Num","","Timing","Perm"
"30","Findings","MS","MSTPT","Planned Time Point Name","Char","","Timing","Perm"
"31","Findings","MS","MSTPTNUM","Planned Time Point Number","Num","","Timing","Perm"
"32","Findings","MS","MSELTM","Planned Elapsed Time from Time Point Ref","Char","ISO 8601","Timing","Perm"
"33","Findings","MS","MSTPTREF","Time Point Reference ","Char","","Timing","Perm"
"1","Findings","PC","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings","PC","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","PC","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings","PC","PCSEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings","PC","PCGRPID","Group ID","Char","","Identifier","Perm"
"6","Findings","PC","PCREFID","Reference ID","Char","","Identifier","Perm"
"7","Findings","PC","PCSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Findings","PC","PCTESTCD","Pharmacokinetic Test Short Name","Char","","Topic","Req"
"9","Findings","PC","PCTEST","Pharmacokinetic Test Name","Char","","Synonym Qualifier","Req"
"10","Findings","PC","PCCAT","Test Category","Char","","Grouping Qualifier","Perm"
"11","Findings","PC","PCSCAT","Test Subcategory","Char","","Grouping Qualifier","Perm"
"12","Findings","PC","PCORRES","Result or Finding in Original Units","Char","","Result Qualifier","Exp"
"13","Findings","PC","PCORRESU","Original Units","Char","(UNIT)","Variable Qualifier ","Exp"
"14","Findings","PC","PCSTRESC","Character Result/Finding in Standard Format","Char","","Result Qualifier","Exp"
"15","Findings","PC","PCSTRESN","Numeric Result/Finding in Standard Units","Num","","Result Qualifier","Exp"
"16","Findings","PC","PCSTRESU","Standard Units","Char","(UNIT)","Variable Qualifier","Exp"
"17","Findings","PC","PCSTAT","Completion Status","Char","(ND)","Record Qualifier","Perm"
"18","Findings","PC","PCREASND","Reason Test Not Done ","Char","","Record Qualifier","Perm"
"19","Findings","PC","PCNAM","Vendor Name","Char","","Record Qualifier","Exp"
"20","Findings","PC","PCSPEC","Specimen Material Type","Char","(SPECTYPE)","Record Qualifier","Exp"
"21","Findings","PC","PCSPCCND","Specimen Condition","Char","(SPECCOND)","Record Qualifier","Perm"
"22","Findings","PC","PCMETHOD","Method of Test or Examination","Char","(METHOD)","Record Qualifier","Perm"
"23","Findings","PC","PCFAST","Fasting Status","Char","(NY)","Record Qualifier","Perm"
"24","Findings","PC","PCDRVFL","Derived Flag","Char","(NY)","Record Qualifier","Perm"
"25","Findings","PC","PCLLOQ","Lower Limit of Quantitation","Num","","Variable Qualifier","Exp"
"26","Findings","PC","PCULOQ","Upper Limit of Quantitation","Num","","Variable Qualifier","Perm"
"27","Findings","PC","VISITNUM","Visit Number","Num","","Timing","Exp"
"28","Findings","PC","VISIT","Visit Name","Char","","Timing","Perm"
"29","Findings","PC","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"30","Findings","PC","PCDTC","Date/Time of Specimen Collection","Char","ISO 8601","Timing","Exp"
"31","Findings","PC","PCENDTC","End Date/Time of Specimen Collection","Char","ISO 8601","Timing","Perm"
"32","Findings","PC","PCDY","Actual Study Day of Specimen Collection","Num","","Timing","Perm"
"33","Findings","PC","PCTPT","Planned Time Point Name","Char","","Timing","Perm"
"34","Findings","PC","PCTPTNUM","Planned Time Point Number","Num","","Timing","Perm"
"35","Findings","PC","PCELTM","Planned Elapsed Time from Time Point Ref","Char","ISO 8601","Timing","Perm"
"36","Findings","PC","PCTPTREF","Time Point Reference","Char","","Timing","Perm"
"37","Findings","PC","PCRFTDTC","Date/Time of Reference Point ","Char","ISO 8601","Timing","Perm"
"38","Findings","PC","PCEVLINT","Evaluation Interval","Char","ISO 8601","Timing","Perm"
"1","Findings","PE","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings","PE","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","PE","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings","PE","PESEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings","PE","PEGRPID","Group ID","Char","","Identifier","Perm"
"6","Findings","PE","PESPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"7","Findings","PE","PETESTCD","Body System Examined Short Name","Char","","Topic","Req"
"8","Findings","PE","PETEST","Body System Examined","Char","","Synonym Qualifier","Req"
"9","Findings","PE","PEMODIFY","Modified Reported Term","Char","","Synonym Qualifier","Perm"
"10","Findings","PE","PECAT","Category for Examination","Char","","Grouping Qualifier","Perm"
"11","Findings","PE","PESCAT","Subcategory for Examination ","Char","","Grouping Qualifier","Perm"
"12","Findings","PE","PEBODSYS","Body System or Organ Class","Char","","Result Qualifier","Perm"
"13","Findings","PE","PEORRES","Verbatim Examination Finding","Char","","Result Qualifier","Exp"
"14","Findings","PE","PEORRESU","Original Units","Char","(UNIT)","Variable Qualifier","Perm"
"15","Findings","PE","PESTRESC","Character Result/Finding in Standard Format","Char","","Result Qualifier","Exp"
"16","Findings","PE","PESTAT","Completion Status","Char","(ND)","Record Qualifier","Perm"
"17","Findings","PE","PEREASND","Reason Not Examined","Char","","Record Qualifier","Perm"
"18","Findings","PE","PELOC","Location of Physical Exam Finding","Char","(LOC)","Record Qualifier","Perm"
"19","Findings","PE","PEMETHOD","Method of Test or Examination","Char","(METHOD)","Record Qualifier","Perm"
"20","Findings","PE","PEEVAL","Evaluator","Char","(EVAL)","Record Qualifier","Perm"
"21","Findings","PE","VISITNUM","Visit Number","Num","","Timing","Exp"
"22","Findings","PE","VISIT","Visit Name","Char","","Timing","Perm"
"23","Findings","PE","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"24","Findings","PE","PEDTC","Date/Time of Examination","Char","ISO 8601","Timing","Exp"
"25","Findings","PE","PEDY","Study Day of Examination","Num","","Timing","Perm"
"1","Findings","PP","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings","PP","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","PP","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings","PP","PPSEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings","PP","PPGRPID","Group ID","Char","","Identifier","Perm"
"6","Findings","PP","PPTESTCD","Parameter Short Name","Char","(PKPARMCD)","Topic","Req"
"7","Findings","PP","PPTEST","Parameter Name","Char","(PKPARM)","Synonym Qualifier","Req"
"8","Findings","PP","PPCAT","Parameter Category","Char","","Grouping Qualifier","Exp"
"9","Findings","PP","PPSCAT","Parameter Subcategory","Char","","Grouping Qualifier","Perm"
"10","Findings","PP","PPORRES","Result or Finding in Original Units","Char","","Result Qualifier","Exp"
"11","Findings","PP","PPORRESU","Original Units","Char","(PKUNIT)","Variable Qualifier ","Exp"
"12","Findings","PP","PPSTRESC","Character Result/Finding in Standard Format","Char","","Result Qualifier","Exp"
"13","Findings","PP","PPSTRESN","Numeric Result/Finding in Standard Units","Num","","Result Qualifier","Exp"
"14","Findings","PP","PPSTRESU","Standard Units","Char","(PKUNIT)","Variable Qualifier","Exp"
"15","Findings","PP","PPSTAT","Completion Status","Char","(ND)","Record Qualifier","Perm"
"16","Findings","PP","PPREASND","Reason Parameter Not Calculated ","Char","","Record Qualifier","Perm"
"17","Findings","PP","PPSPEC","Specimen Material Type","Char","(SPECTYPE)","Record Qualifier","Exp"
"18","Findings","PP","PPDTC","Date/Time of Parameter Calculations","Char","ISO 8601","Timing","Perm"
"19","Findings","PP","PPRFTDTC","Date/Time of Reference Point ","Char","ISO 8601","Timing","Exp"
"20","Findings","PP","PPSTINT","Planned Start of Assessment Interval","Char","ISO 8601","Timing","Perm"
"21","Findings","PP","PPENINT","Planned End of Assessment Interval","Char","ISO 8601","Timing","Perm"
"1","Findings","QS","STUDYID","Study Identifier","Char","","Identifier ","Req"
"2","Findings","QS","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","QS","USUBJID","Unique Subject Identifier","Char","","Identifier ","Req"
"4","Findings","QS","QSSEQ","Sequence Number ","Num","","Identifier","Req"
"5","Findings","QS","QSGRPID","Group ID","Char","","Identifier","Perm"
"6","Findings","QS","QSSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"7","Findings","QS","QSTESTCD","Question Short Name","Char","(QSTESTCD)","Topic","Req"
"8","Findings","QS","QSTEST","Question Name","Char","(QSTEST)","Synonym Qualifier","Req"
"9","Findings","QS","QSCAT","Category of Question","Char","(QSCAT)","Grouping Qualifier","Req"
"10","Findings","QS","QSSCAT","Subcategory for Question","Char","","Grouping Qualifier","Perm"
"11","Findings","QS","QSORRES","Finding in Original Units","Char","","Result Qualifier","Exp"
"12","Findings","QS","QSORRESU","Original Units","Char","(UNIT)","Variable Qualifier ","Perm"
"13","Findings","QS","QSSTRESC","Character Result/Finding in Standard Format","Char","","Result Qualifier","Exp"
"14","Findings","QS","QSSTRESN","Numeric Finding in Standard Units","Num","","Result Qualifier","Perm"
"15","Findings","QS","QSSTRESU","Standard Units","Char","(UNIT)","Variable Qualifier","Perm"
"16","Findings","QS","QSSTAT","Completion Status ","Char","(ND)","Record Qualifier","Perm"
"17","Findings","QS","QSREASND","Reason Not Performed","Char","","Record Qualifier","Perm"
"18","Findings","QS","QSBLFL","Baseline Flag","Char","(NY)","Record Qualifier","Exp"
"19","Findings","QS","QSDRVFL","Derived Flag","Char","(NY)","Record Qualifier","Perm"
"20","Findings","QS","QSEVAL","Evaluator","Char","(EVAL)","Record Qualifier","Perm"
"21","Findings","QS","VISITNUM","Visit Number","Num","","Timing","Exp"
"22","Findings","QS","VISIT","Visit Name","Char","","Timing","Perm"
"23","Findings","QS","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"24","Findings","QS","QSDTC","Date/Time of Finding","Char","ISO 8601","Timing","Exp"
"25","Findings","QS","QSDY","Study Day of Finding","Num","","Timing","Perm"
"26","Findings","QS","QSTPT","Planned Time Point Name","Char","","Timing","Perm"
"27","Findings","QS","QSTPTNUM","Planned Time Point Number","Num","","Timing","Perm"
"28","Findings","QS","QSELTM","Planned Elapsed Time from Time Point Ref","Char","ISO 8601","Timing","Perm"
"29","Findings","QS","QSTPTREF","Time Point Reference","Char","","Timing","Perm"
"30","Findings","QS","QSRFTDTC","Date/Time of Reference Time Point","Char","ISO 8601","Timing","Perm"
"31","Findings","QS","QSEVLINT","Evaluation Interval","Char","ISO 8601","Timing","Perm"
"1","Findings","RP","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings","RP","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","RP","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings","RP","RPSEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings","RP","RPGRPID","Group ID","Char","","Identifier","Perm"
"6","Findings","RP","RPREFID","Reference ID ","Char","","Identifier","Perm"
"7","Findings","RP","RPSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Findings","RP","RPTESTCD","Repro System Findings Test Short Name","Char","(RPTESTCD)","Topic","Req"
"9","Findings","RP","RPTEST","Reproductive System Findings Test Name","Char","(RPTEST)","Synonym Qualifier","Req"
"10","Findings","RP","RPCAT","Category for Repro System Findings","Char","","Grouping Qualifier","Perm"
"11","Findings","RP","RPSCAT","Subcategory for Repro System Findings","Char","","Grouping Qualifier","Perm"
"12","Findings","RP","RPORRES","Result or Finding in Original Units","Char","","Result Qualifier","Exp"
"13","Findings","RP","RPORRESU","Original Units","Char","(UNIT)","Variable Qualifier ","Exp"
"14","Findings","RP","RPSTRESC","Character Result/Finding in Std. Format","Char","","Result Qualifier","Exp"
"15","Findings","RP","RPSTRESN","Numeric Result/Finding in Standard Units","Num","","Result Qualifier","Exp"
"16","Findings","RP","RPSTRESU","Standard Units","Char","(UNIT)","Variable Qualifier","Exp"
"17","Findings","RP","RPSTAT","Completion Status","Char","(ND)","Record Qualifier","Perm"
"18","Findings","RP","RPREASND","Reason Not Performed","Char","","Record Qualifier","Perm"
"19","Findings","RP","RPBLFL","Baseline Flag","Char","(NY)","Record Qualifier","Perm"
"20","Findings","RP","RPDRVFL","Derived Flag","Char","(NY)","Record Qualifier","Perm"
"21","Findings","RP","VISITNUM","Visit Number","Num","","Timing","Perm"
"22","Findings","RP","VISIT","Visit Name","Char","","Timing","Perm"
"23","Findings","RP","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"24","Findings","RP","RPDTC","Date/Time of Measurements","Char","ISO 8601","Timing","Exp"
"25","Findings","RP","RPDY","Study Day of Repro System Findings","Num","","Timing","Perm"
"1","Findings","RS","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings","RS","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","RS","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings","RS","RSSEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings","RS","RSGRPID","Group ID","Char","","Identifier","Perm"
"6","Findings","RS","RSREFID","Reference ID","Char","","Identifier","Perm"
"7","Findings","RS","RSSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Findings","RS","RSLNKID","Link ID","Char","","Identifier","Perm"
"9","Findings","RS","RSLNKGRP","Link Group","Char","","Identifier","Perm"
"10","Findings","RS","RSTESTCD","Response Assessment Short Name","Char","(RSTESTCD)","Topic","Req"
"11","Findings","RS","RSTEST","Response Assessment Name","Char","(RSTEST)","Synonym Qualifier","Req"
"12","Findings","RS","RSCAT","Category for Response Assessment ","Char","","Grouping Qualifier","Exp"
"13","Findings","RS","RSORRES","Response Assessment Original Result","Char","","Result Qualifier","Exp"
"14","Findings","RS","RSSTRESC","Response Assessment Result in Std Format","Char","","Record Qualifier","Exp"
"15","Findings","RS","RSSTAT","Completion Status","Char","(ND)","Result Qualifier","Perm"
"16","Findings","RS","RSREASND","Reason Response Assessment Not Performed","Char","","Record Qualifier","Perm"
"17","Findings","RS","RSNAM","Vendor Name","Char","","Record Qualifier","Perm"
"18","Findings","RS","RSEVAL","Evaluator","Char","(EVAL)","Record Qualifier","Exp"
"19","Findings","RS","RSEVALID","Evaluator Identifier","Char","(MEDEVAL)","Variable Qualifier","Perm"
"20","Findings","RS","RSACPTFL","Accepted Record Flag","Char","(NY)","Record Qualifier","Perm"
"21","Findings","RS","VISITNUM","Visit Number","Num","","Timing","Exp"
"22","Findings","RS","VISIT","Visit Name","Char","","Timing","Perm"
"23","Findings","RS","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"24","Findings","RS","EPOCH","Epoch","Char","","Timing","Perm"
"25","Findings","RS","RSDTC","Date/Time of Response Assessment","Char","ISO 8601","Timing","Exp"
"26","Findings","RS","RSDY","Study Day of Response Assessment","Num","","Timing","Perm"
"1","Findings","SC","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings","SC","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","SC","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings","SC","SCSEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings","SC","SCGRPID","Group ID","Char","","Identifier","Perm"
"6","Findings","SC","SCSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"7","Findings","SC","SCTESTCD","Subject Characteristic Short Name","Char","(SCTESTCD)","Topic","Req"
"8","Findings","SC","SCTEST","Subject Characteristic","Char","(SCTEST)","Synonym Qualifier","Req"
"9","Findings","SC","SCCAT","Category for Subject Characteristic","Char","","Grouping Qualifier","Perm"
"10","Findings","SC","SCSCAT","Subcategory for Subject Characteristic","Char","","Grouping Qualifier","Perm"
"11","Findings","SC","SCORRES","Result or Finding in Original Units","Char","","Result Qualifier","Exp"
"12","Findings","SC","SCORRESU","Original Units","Char","(UNIT)","Variable Qualifier ","Perm"
"13","Findings","SC","SCSTRESC","Character Result/Finding in Std Format","Char","","Result Qualifier","Exp"
"14","Findings","SC","SCSTRESN","Numeric Result/Finding in Standard Units","Num","","Result Qualifier","Perm"
"15","Findings","SC","SCSTRESU","Standard Units","Char","(UNIT)","Variable Qualifier","Perm"
"16","Findings","SC","SCSTAT","Completion Status","Char","(ND)","Record Qualifier","Perm"
"17","Findings","SC","SCREASND","Reason Not Performed","Char","","Record Qualifier","Perm"
"18","Findings","SC","SCDTC","Date/Time of Collection","Char","ISO 8601","Timing","Perm"
"19","Findings","SC","SCDY","Study Day of Examination","Num","","Timing","Perm"
"1","Findings","SS","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings","SS","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","SS","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings","SS","SSSEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings","SS","SSGRPID","Group ID","Char","","Identifier","Perm"
"6","Findings","SS","SSSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"7","Findings","SS","SSTESTCD","Status Short Name","Char","(SSTESTCD)","Topic","Req"
"8","Findings","SS","SSTEST","Status Name","Char","(SSTEST)","Synonym Qualifier","Req"
"9","Findings","SS","SSCAT","Category for Assessment","Char","","Grouping Qualifier","Perm"
"10","Findings","SS","SSSCAT","Subcategory for Assessment","Char","","Grouping Qualifier","Perm"
"11","Findings","SS","SSORRES","Result or Finding Original Result","Char","","Result Qualifier","Exp"
